Name,Type,ID,Wall_Width, Category , Category , Curtain version , Locked , Range , Angle 2 , Angle 1 , Deletable , Id , Family and Type , Family , Type , Family Name , Type Id , Bottom Vertical Projection , Top Vertical Projection , Horizontal Projection , Cross-Section , Base Extension Distance , Top Extension Distance , Radius , Angle , Related to Mass , Location Line Offset , Location Line , Base is Attached , Top is Attached , Top Offset , Base Offset , Base Constraint , Unconnected Height , Top Constraint , Room Bounding , Abstract Join Strength Order , Analytical Space Bounding , Volume , Area , Length , Desired Width , Image , Design Option , Design Option , Comments , Assembly Description , Assembly Code , Edited by , Workset , Type Name , Mark , Categorize as , Phase Demolished , Phase Created , Curved Edge Condition , Can host rebar , Structural , Enable Analytical Model , Structural Usage , Wall Modifier 
"Concrete_Core 22""","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5398956,22,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5398956,"Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ",,5412650,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 02 : id 5391116 ,360,Revit Level : LEVEL 04 : id 5391257 ,TRUE,3,TRUE,2.68E+06,121778.375,404.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 22""","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5398957,22,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5398957,"Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ",,5412650,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : CELLAR : id 5390893 ,676,Revit Level : LEVEL 04 : id 5391257 ,TRUE,3,TRUE,5.12E+06,232544,322,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 22""","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5398958,22,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5398958,"Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ",,5412650,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : CELLAR : id 5390893 ,676,Revit Level : LEVEL 04 : id 5391257 ,TRUE,3,TRUE,4.93E+06,232388.5,404.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 22""","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5398959,22,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5398959,"Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ","Revit Host Type : Basic Wall : Concrete_Core 22"" : id 5412650 ",,5412650,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 02 : id 5391116 ,360,Revit Level : LEVEL 04 : id 5391257 ,TRUE,3,TRUE,2.38E+06,108000,322,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
HA Wall_S42.2,Revit Host Type : Basic Wall : HA Wall_S42.2 : id 588669 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt,5399158,5.25,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,FALSE,,,,TRUE,5399158,Revit Host Type : Basic Wall : HA Wall_S42.2 : id 588669 ,Revit Host Type : Basic Wall : HA Wall_S42.2 : id 588669 ,Revit Host Type : Basic Wall : HA Wall_S42.2 : id 588669 ,,588669,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceExterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 01 : id 30 ,188,Revit Level : LEVEL 02 : id 5391116 ,TRUE,3,TRUE,188792.625,35960.5,236.25,,,Revit Element : <None>,Main Model,,,,,2145,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5413295,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,FALSE,,,,TRUE,5413295,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceExterior,FALSE,FALSE,-7,0,Revit Level : CELLAR : id 5390893 ,113,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,3.29E+06,274880,2353,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5414040,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5414040,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0,FALSE,0,FinishFaceExterior,FALSE,FALSE,-10,0,Revit Level : CELLAR : id 5390893 ,110,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,897598.8451,74799.90376,691.999125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5414487,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5414487,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceExterior,FALSE,FALSE,-10,0,Revit Level : CELLAR : id 5390893 ,110,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,743325,61943.75,557.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415156,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415156,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0,FALSE,0,FinishFaceExterior,FALSE,FALSE,-10,0,Revit Level : CELLAR : id 5390893 ,110,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,506880,42240,372,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415289,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415289,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceExterior,FALSE,FALSE,-9.375,0,Revit Level : CELLAR : id 5390893 ,110.625,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,1.16E+06,96299.0625,870.5,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
